bank_txn_id,ledger_txn_id,amount,date,narration,category
TXN1090,,78489.09,2026-08-28,Refund - BookMyShow,UNMATCHED_BANK_ENTRY
TXN1117,,33942.41,2026-08-08,Vendor Settlement - Lakshmi Iyer,UNMATCHED_BANK_ENTRY
TXN1088,,16289.23,2026-08-07,Salary Credit - BookMyShow,UNMATCHED_BANK_ENTRY
TXN1114,,79252.22,2026-08-30,Vendor Settlement - Zomato,UNMATCHED_BANK_ENTRY
TXN1089,,15718.96,2026-08-14,Vendor Settlement - Airtel Payments,UNMATCHED_BANK_ENTRY
TXN1123,,123904.39,2026-08-01,Vendor Settlement - Karan Mehta,UNMATCHED_BANK_ENTRY
TXN1120,,90923.34,2026-08-15,Vendor Settlement - Vikram Rao,UNMATCHED_BANK_ENTRY
,TXN1122,63945.7,2026-08-15,Invoice Payment - Vikram Rao,UNMATCHED_LEDGER_ENTRY
,TXN1096,59255.79,2026-08-14,Salary Credit - Nykaa,UNMATCHED_LEDGER_ENTRY
,TXN1058,78084.17,2026-08-21,Transfer - Zomato,UNMATCHED_LEDGER_ENTRY
,TXN1121,26977.64,2026-08-15,Invoice Payment - Vikram Rao,UNMATCHED_LEDGER_ENTRY
,TXN1113,7106.29,2026-08-20,Purchase - DMart Online,UNMATCHED_LEDGER_ENTRY
,TXN1125,84868.86,2026-08-01,Invoice Payment - Karan Mehta,UNMATCHED_LEDGER_ENTRY
,TXN1119,11255.02,2026-08-08,Invoice Payment - Lakshmi Iyer,UNMATCHED_LEDGER_ENTRY
,TXN1116,56976.25,2026-08-30,Invoice Payment - Zomato,UNMATCHED_LEDGER_ENTRY
,TXN1093,41356.65,2026-08-14,Service Charge - Neha Kapoor,UNMATCHED_LEDGER_ENTRY
,TXN1124,39035.53,2026-08-01,Invoice Payment - Karan Mehta,UNMATCHED_LEDGER_ENTRY
,TXN1094,5125.21,2026-08-29,Invoice Payment - BigBasket,UNMATCHED_LEDGER_ENTRY
,TXN1118,22687.39,2026-08-08,Invoice Payment - Lakshmi Iyer,UNMATCHED_LEDGER_ENTRY
,TXN1115,22275.97,2026-08-30,Invoice Payment - Zomato,UNMATCHED_LEDGER_ENTRY
,TXN1097,25325.66,2026-08-07,Invoice Payment - Sneha Iyer,UNMATCHED_LEDGER_ENTRY
,TXN1104,81672.09,2026-08-02,Salary Credit - Ananya Das,UNMATCHED_LEDGER_ENTRY
,TXN1095,22652.48,2026-08-13,Subscription Fee - Airtel Payments,UNMATCHED_LEDGER_ENTRY
